,IT_diff,V2_diff,root,Image1,Image2,IT_root_im1,IT_root_im2,IT_im1_im2,V2_root_im1,V2_root_im2,V2_im1_im2,cat_root,cat_im1,cat_im2,concept_root,concept_im1,concept_im2,V2_im2_minus_im1,IT_im2_minus_im1,IT_most_similar,V2_most_similar,rew_probs,block_order,LeftIm,RightIm,IT_most_similar_lr,V2_most_similar_lr
0,0.112945319,0.0247054,0_1.jpg,0_2.jpg,0_3.jpg,0.105832307,0.218777626,-0.086585614,0.065103598,0.089808999,0.037974415,gravestone,pajamas,javelin,Unclassified,clothing,sports equipment,0.024705401,0.112945319,im2,im2,0.9,IT,0_2.jpg,0_3.jpg,right,left
1,0.127330116,0.029331153,1_1.jpg,1_2.jpg,1_3.jpg,-0.198246656,-0.070916541,0.423047743,0.088679801,0.059348649,0.069036748,submarine,sardine,mask,vehicle,Unclassified,clothing,-0.029331152,0.127330115,im1,im1,0.9,IT,1_3.jpg,1_2.jpg,left,right
2,0.123256819,0.042607275,2_1.jpg,2_2.jpg,2_3.jpg,-0.353059879,-0.229803061,0.410662033,0.052226648,0.009619373,0.091675464,alpaca,calzone,lip_balm,animal,Unclassified,Unclassified,-0.042607275,0.123256818,im2,im1,0.9,IT,2_2.jpg,2_3.jpg,right,left
3,0.120908976,0.0548959,3_1.jpg,3_2.jpg,3_3.jpg,-0.044691113,0.076217862,-0.08701128,0.076088157,0.021192256,0.047162379,bazooka,antelope,highchair,Unclassified,animal,furniture,-0.054895901,0.120908975,im1,im1,0.9,IT,3_3.jpg,3_2.jpg,left,right
4,0.122368269,0.073449625,4_1.jpg,4_2.jpg,4_3.jpg,-0.035711178,0.086657091,0.212700493,0.080137577,0.006687952,0.020658986,rat,hubcap,camera2,animal,Unclassified,animal,-0.073449625,0.122368269,im2,im1,0.9,IT,4_2.jpg,4_3.jpg,right,left
5,0.115595805,0.095039861,5_1.jpg,5_2.jpg,5_3.jpg,0.169581597,0.285177402,-0.008113298,0.125528209,0.030488348,0.053019699,orange_rind,duckling,stove1,Unclassified,animal,animal,-0.095039861,0.115595805,im2,im1,0.9,IT,5_2.jpg,5_3.jpg,right,left
6,0.127689997,0.121822216,6_1.jpg,6_2.jpg,6_3.jpg,0.051797174,0.179487171,0.167217844,0.164646849,0.042824633,0.058595514,hole,ice,shelf,Unclassified,Unclassified,Unclassified,-0.121822216,0.127689997,im2,im1,0.9,IT,6_2.jpg,6_3.jpg,right,left
7,0.117280398,0.125645975,7_1.jpg,7_2.jpg,7_3.jpg,-0.044378402,0.072901996,0.10222773,-0.014660393,0.110985582,0.037304186,muff,roller_coaster,potpie,clothing,Unclassified,food,0.125645975,0.117280398,im2,im2,0.9,IT,7_2.jpg,7_3.jpg,right,left
8,0.120140851,0.13413238,8_1.jpg,8_2.jpg,8_3.jpg,0.458340595,0.578481446,0.42929263,-0.009091724,0.125040656,0.032119153,drink,stethoscope,pepper_mill,Unclassified,Unclassified,Unclassified,0.13413238,0.120140851,im1,im2,0.9,IT,8_3.jpg,8_2.jpg,left,right
9,0.126262821,0.152822266,9_1.jpg,9_2.jpg,9_3.jpg,-0.03462042,0.0916424,0.099374856,-0.022126222,0.130696044,0.03991407,bee,flamingo,crystal_ball,animal,animal,Unclassified,0.152822266,0.12626282,im2,im2,0.9,IT,9_2.jpg,9_3.jpg,right,left
10,0.240391398,0.016632975,10_1.jpg,10_2.jpg,10_3.jpg,-0.093229288,0.147162109,-0.287273477,0.070119099,0.053486124,0.046782948,bathtub,fox,briefcase,container,animal,container,-0.016632975,0.240391397,im1,im1,0.9,IT,10_3.jpg,10_2.jpg,left,right
11,0.237039429,0.02401622,11_1.jpg,11_2.jpg,11_3.jpg,0.273723068,0.510762497,0.46738129,0.06843843,0.09245465,0.110304291,woman,cracker,slipper,Unclassified,food,Unclassified,0.02401622,0.237039429,im1,im2,0.9,IT,11_3.jpg,11_2.jpg,left,right
12,0.234369268,0.046165587,12_1.jpg,12_2.jpg,12_3.jpg,0.16849123,0.402860497,0.131673152,0.085294805,0.039129218,0.074812542,bumper,baton4,bed,Unclassified,animal,furniture,-0.046165587,0.234369267,im1,im1,0.9,IT,12_3.jpg,12_2.jpg,left,right
13,0.238888081,0.0651022,13_1.jpg,13_2.jpg,13_3.jpg,-0.101888284,0.136999797,0.396015026,0.055503447,-0.009598753,0.019792229,sea_urchin,bumper,key,animal,Unclassified,Unclassified,-0.0651022,0.238888081,im2,im1,0.9,IT,13_2.jpg,13_3.jpg,right,left
14,0.236501422,0.073933135,14_1.jpg,14_2.jpg,14_3.jpg,0.235507687,0.472009109,0.483666722,0.032880878,0.106814014,0.028285196,safety_pin,tomato,caramel,Unclassified,vegetable,food,0.073933136,0.236501422,im2,im2,0.9,IT,14_2.jpg,14_3.jpg,right,left
15,0.235683561,0.093123871,15_1.jpg,15_2.jpg,15_3.jpg,-0.280975804,-0.045292243,-0.100361753,-0.007144624,0.085979246,0.017304403,seahorse,car,robe,animal,container,clothing,0.09312387,0.235683561,im1,im2,0.9,IT,15_3.jpg,15_2.jpg,left,right